expected error: 0.051123	observerd error: 0.055285
expected error: 0.068815	observerd error: 0.042427
expected error: 0.056743	observerd error: 0.043688
expected error: 0.068103	observerd error: 0.050317
expected error: 0.061623	observerd error: 0.049473
expected error: 0.069780	observerd error: 0.071415
expected error: 0.074930	observerd error: 0.043966
expected error: 0.057561	observerd error: 0.045433
expected error: 0.063781	observerd error: 0.054232
expected error: 0.057100	observerd error: 0.049880
expected error: 0.052946	observerd error: 0.054607
expected error: 0.066658	observerd error: 0.040585
expected error: 0.063453	observerd error: 0.049848
expected error: 0.064281	observerd error: 0.040712
expected error: 0.071623	observerd error: 0.048975
expected error: 0.070857	observerd error: 0.039848
expected error: 0.058084	observerd error: 0.049758
expected error: 0.054600	observerd error: 0.075238
expected error: 0.047084	observerd error: 0.043739
expected error: 0.070623	observerd error: 0.053803
expected error: 0.064027	observerd error: 0.047127
expected error: 0.059238	observerd error: 0.052643
expected error: 0.055747	observerd error: 0.059380
expected error: 0.047488	observerd error: 0.043203
expected error: nan	observerd error: 0.048490
expected error: 0.069623	observerd error: 0.050137
expected error: 0.069953	observerd error: 0.052547
expected error: 0.067623	observerd error: 0.034866
expected error: 0.067604	observerd error: 0.053565
expected error: 0.071853	observerd error: 0.053646
expected error: 0.075061	observerd error: 0.040954
expected error: 0.069238	observerd error: 0.055665
expected error: 0.059853	observerd error: 0.057100
expected error: 0.057550	observerd error: 0.018571
expected error: 0.057200	observerd error: 0.041819
expected error: 0.067177	observerd error: 0.071223
expected error: 0.052727	observerd error: 0.034651
expected error: 0.064600	observerd error: 0.046350
expected error: 0.056815	observerd error: 0.046898
expected error: 0.046351	observerd error: 0.052511
expected error: 0.075815	observerd error: 0.054439
expected error: 0.047877	observerd error: 0.049930
expected error: 0.075238	observerd error: 0.069800
expected error: 0.068853	observerd error: 0.049474
expected error: 0.072392	observerd error: 0.047438
expected error: 0.062258	observerd error: 0.050385
expected error: 0.073777	observerd error: 0.046946
expected error: 0.067081	observerd error: 0.050389
expected error: 0.064473	observerd error: 0.040183
expected error: 0.065627	observerd error: 0.042007
expected error: 0.046946	observerd error: 0.046507
expected error: 0.049060	observerd error: 0.046420
expected error: 0.061261	observerd error: 0.060507
expected error: 0.071780	observerd error: 0.050326
expected error: 0.070700	observerd error: 0.040226
expected error: 0.058915	observerd error: 0.064584
expected error: 0.072396	observerd error: 0.044312
expected error: 0.066742	observerd error: 0.045803
expected error: 0.061292	observerd error: 0.039571
expected error: 0.057161	observerd error: 0.046884
expected error: 0.076896	observerd error: 0.055819
expected error: 0.076896	observerd error: 0.047656
expected error: nan	observerd error: 0.044857
expected error: 0.057546	observerd error: 0.052476
expected error: 0.061493	observerd error: 0.060777
expected error: 0.065023	observerd error: 0.046481
expected error: 0.073392	observerd error: 0.047966
expected error: 0.060623	observerd error: 0.039227
expected error: 0.063430	observerd error: 0.053884
expected error: 0.061934	observerd error: 0.070661
expected error: 0.053800	observerd error: 0.063320
expected error: 0.060223	observerd error: 0.045187
expected error: 0.055146	observerd error: 0.040724
expected error: 0.062446	observerd error: 0.059435
expected error: 0.071681	observerd error: 0.040876
expected error: 0.066570	observerd error: 0.034482
expected error: 0.063392	observerd error: 0.040930
expected error: nan	observerd error: 0.061900
expected error: 0.060338	observerd error: 0.054421
expected error: 0.055546	observerd error: 0.055090
expected error: 0.076969	observerd error: 0.048244
expected error: 0.061489	observerd error: 0.053306
expected error: 0.048723	observerd error: 0.057075
expected error: 0.054093	observerd error: 0.040088
expected error: 0.062377	observerd error: 0.050296
expected error: 0.060738	observerd error: 0.032673
expected error: 0.050261	observerd error: 0.043236
expected error: 0.066703	observerd error: 0.046186
expected error: 0.052143	observerd error: 0.042946
expected error: 0.069643	observerd error: 0.049235
expected error: 0.048322	observerd error: 0.055450
expected error: nan	observerd error: 0.044812
expected error: 0.061954	observerd error: nan
expected error: 0.060684	observerd error: 0.049773
expected error: 0.057623	observerd error: 0.053430
expected error: 0.070527	observerd error: 0.053588
expected error: 0.067084	observerd error: 0.052890
expected error: 0.057469	observerd error: 0.052870
expected error: 0.065930	observerd error: 0.044730
expected error: 0.067780	observerd error: 0.042950
expected error: 0.062412	observerd error: 0.028294
expected error: 0.051061	observerd error: 0.051869
expected error: 0.062623	observerd error: 0.040930
expected error: 0.069912	observerd error: 0.040819
expected error: nan	observerd error: 0.049925
expected error: 0.059738	observerd error: 0.048316
expected error: 0.063777	observerd error: 0.044723
expected error: 0.062469	observerd error: 0.068123
expected error: 0.068484	observerd error: 0.051225
expected error: 0.059703	observerd error: 0.048023
expected error: 0.061661	observerd error: 0.040053
expected error: 0.061030	observerd error: 0.045084
expected error: 0.058469	observerd error: 0.039148
expected error: 0.040700	observerd error: 0.043433
expected error: 0.071258	observerd error: 0.039310
expected error: 0.057700	observerd error: 0.057242
expected error: 0.056373	observerd error: 0.052531
expected error: 0.063315	observerd error: 0.072469
expected error: 0.065353	observerd error: 0.046373
expected error: 0.062703	observerd error: 0.039079
expected error: 0.063566	observerd error: 0.040828
expected error: 0.067934	observerd error: 0.060912
expected error: 0.064492	observerd error: 0.052588
expected error: 0.060142	observerd error: 0.066800
expected error: 0.067857	observerd error: 0.029477
expected error: 0.056600	observerd error: 0.051746
expected error: 0.052892	observerd error: 0.044765
expected error: 0.069727	observerd error: 0.070177
expected error: 0.041651	observerd error: 0.063430
expected error: 0.053011	observerd error: 0.044048
expected error: 0.061930	observerd error: 0.048793
expected error: nan	observerd error: 0.039964
expected error: 0.072123	observerd error: 0.040972
expected error: 0.056573	observerd error: 0.050339
expected error: 0.059850	observerd error: 0.043492
expected error: 0.065912	observerd error: 0.055342
expected error: 0.068546	observerd error: 0.055118
expected error: nan	observerd error: 0.052815
expected error: 0.075546	observerd error: 0.041671
expected error: 0.063430	observerd error: 0.037201
expected error: 0.057258	observerd error: 0.055546
expected error: 0.062050	observerd error: 0.035521
expected error: 0.069161	observerd error: 0.037454
expected error: 0.075238	observerd error: 0.054407
expected error: 0.045892	observerd error: 0.039877
expected error: 0.067030	observerd error: 0.053506
expected error: 0.070815	observerd error: 0.042642
expected error: 0.062700	observerd error: 0.047148
expected error: 0.069392	observerd error: 0.042069
expected error: nan	observerd error: 0.039471
expected error: 0.054315	observerd error: 0.042177
expected error: 0.063330	observerd error: 0.068107
expected error: nan	observerd error: 0.038716
expected error: 0.057369	observerd error: 0.047191
expected error: 0.076969	observerd error: 0.049445
expected error: 0.066853	observerd error: 0.047601
expected error: nan	observerd error: 0.045682
expected error: nan	observerd error: 0.043123
expected error: 0.049598	observerd error: 0.067738
expected error: 0.062850	observerd error: 0.050297
expected error: 0.072238	observerd error: 0.051581
expected error: 0.073084	observerd error: 0.043359
expected error: 0.067242	observerd error: 0.037183
expected error: 0.061566	observerd error: 0.057161
expected error: 0.058070	observerd error: 0.048069
expected error: 0.063638	observerd error: 0.048669
expected error: 0.062242	observerd error: 0.053953
expected error: 0.060011	observerd error: 0.052061
expected error: 0.066623	observerd error: 0.048377
expected error: 0.068585	observerd error: 0.039900
expected error: 0.068984	observerd error: 0.055769
expected error: 0.073777	observerd error: 0.038930
expected error: 0.059588	observerd error: 0.035797
expected error: 0.050512	observerd error: 0.045604
